local_experiment_id,underlying,target_delta,target_dte,allocation,slippage_bps,execution_proxy,evidence_label,start,end,days,terminal_value,total_return,cagr,ann_vol,sharpe_0rf,max_drawdown,entries,rolls,resized_entries,rejected_entries,no_candidate_days
LEOD033,QQQ,0.8,365,0.5,10,signal_close_to_next_close_quote_side,FREE_DISCOVERY_LOCAL_EOD_PROXY,2012-01-03,2025-12-15,3509,46244092.08726528,45.24409208726528,0.3163289575618029,0.42219587662535846,0.8626511841571294,-0.5561011338646982,29,28,16,0,0
LEOD034,QQQ,0.8,365,1.0,0,signal_close_to_next_close_quote_side,FREE_DISCOVERY_LOCAL_EOD_PROXY,2012-01-03,2025-12-15,3509,171329466.7,170.32946669999998,0.44590178908987244,1.0160784840557298,0.8398549020671547,-0.9286375353395937,29,28,16,0,0
LEOD035,QQQ,0.8,365,1.0,5,signal_close_to_next_close_quote_side,FREE_DISCOVERY_LOCAL_EOD_PROXY,2012-01-03,2025-12-15,3509,166826652.22450018,165.82665222450018,0.44314379854720554,1.0163537425850346,0.8379840788464012,-0.9288595922661963,29,28,16,0,0
LEOD036,QQQ,0.8,365,1.0,10,signal_close_to_next_close_quote_side,FREE_DISCOVERY_LOCAL_EOD_PROXY,2012-01-03,2025-12-15,3509,162503869.2560001,161.50386925600012,0.4404302761300627,1.016636127884655,0.83613901205553,-0.9290725191338911,29,28,16,0,0
LEOD037,QQQ,0.8,548,0.25,0,signal_close_to_next_close_quote_side,FREE_DISCOVERY_LOCAL_EOD_PROXY,2012-01-03,2025-12-15,3509,7646526.521114274,6.646526521114274,0.15700095943242065,0.18926422523569805,0.8668770531778349,-0.2907274665334322,28,27,16,0,0
LEOD038,QQQ,0.8,548,0.25,5,signal_close_to_next_close_quote_side,FREE_DISCOVERY_LOCAL_EOD_PROXY,2012-01-03,2025-12-15,3509,7588738.203449833,6.588738203449833,0.1563719114217743,0.18930769717143336,0.8638399746713691,-0.2911160901077261,28,27,16,0,0
LEOD039,QQQ,0.8,548,0.25,10,signal_close_to_next_close_quote_side,FREE_DISCOVERY_LOCAL_EOD_PROXY,2012-01-03,2025-12-15,3509,7535034.509474468,6.535034509474468,0.15578332687033147,0.18930873535309287,0.8611400268045842,-0.29100095490379363,28,27,16,0,0
LEOD040,QQQ,0.8,548,0.5,0,signal_close_to_next_close_quote_side,FREE_DISCOVERY_LOCAL_EOD_PROXY,2012-01-03,2025-12-15,3509,35557835.83895874,34.55783583895874,0.2917644895750169,0.3914369694798801,0.8497356995958619,-0.5183744520314868,28,27,16,0,0
LEOD041,QQQ,0.8,548,0.5,5,signal_close_to_next_close_quote_side,FREE_DISCOVERY_LOCAL_EOD_PROXY,2012-01-03,2025-12-15,3509,35028829.3983381,34.028829398338104,0.2903771828642261,0.39142762321759145,0.8469972977057075,-0.5188738167804116,28,27,16,0,0
LEOD042,QQQ,0.8,548,0.5,10,signal_close_to_next_close_quote_side,FREE_DISCOVERY_LOCAL_EOD_PROXY,2012-01-03,2025-12-15,3509,34528887.700494416,33.528887700494415,0.2890481048604918,0.39145115109881184,0.8443293416245546,-0.5193925027602597,28,27,16,0,0
LEOD043,QQQ,0.8,548,1.0,0,signal_close_to_next_close_quote_side,FREE_DISCOVERY_LOCAL_EOD_PROXY,2012-01-03,2025-12-15,3509,367619050.8000001,366.6190508000001,0.5272427467229481,0.9555636335794842,0.875825261694345,-0.8087104439602094,28,27,16,0,0
LEOD044,QQQ,0.8,548,1.0,5,signal_close_to_next_close_quote_side,FREE_DISCOVERY_LOCAL_EOD_PROXY,2012-01-03,2025-12-15,3509,357752753.3030002,356.7527533030002,0.524267102559955,0.9557828003723241,0.8738009651840017,-0.8092750845982014,28,27,16,0,0
LEOD045,QQQ,0.8,548,1.0,10,signal_close_to_next_close_quote_side,FREE_DISCOVERY_LOCAL_EOD_PROXY,2012-01-03,2025-12-15,3509,348410539.55800015,347.41053955800015,0.5213784502930252,0.956075609601361,0.871830647594993,-0.8098541812650727,28,27,16,0,0
LEOD046,QQQ,0.8,730,0.25,0,signal_close_to_next_close_quote_side,FREE_DISCOVERY_LOCAL_EOD_PROXY,2012-01-03,2025-12-15,3509,5115467.481799016,4.115467481799016,0.12413513335629167,0.17695701268650857,0.7511595445942016,-0.2700861387541571,28,27,15,0,0
