regime,strategy,horizon_years,paths,median_cagr,p10_cagr,p01_cagr,prob_beat_1x,prob_dd_gt_50,prob_dd_gt_70,prob_dd_gt_90,median_max_dd,p10_max_dd,prob_terminal_below_start,prob_terminal_below_0p1
baseline_history,FUT_2x_200DMA,40,2500,0.1358053857361171,0.07154359499700236,0.02480556083791494,0.9044,0.8224,0.1536,0.0008,-0.5846308730398024,-0.7326383418031686,0.0012,0.0
high_inflation_1966_1982,MKT_1x,10,2500,0.07479532086081964,0.003077401277598013,-0.05308352164382201,0.0,0.096,0.0024,0.0,-0.3412431166568828,-0.4975500450693724,0.0884,0.0
high_inflation_1966_1982,MKT_1x,20,2500,0.07327809658119755,0.021250107604351243,-0.01711323986849418,0.0,0.2216,0.012,0.0,-0.4100639765651518,-0.5671339598784241,0.0356,0.0
high_inflation_1966_1982,MKT_1x,40,2500,0.07333260004089737,0.03558084710128491,0.0035779585460328943,0.0,0.4132,0.036,0.0,-0.47482817847132236,-0.6329323260536229,0.0068,0.0
high_inflation_1966_1982,LETF_1p5_BH,10,2500,0.057836280626091585,-0.047062441810176305,-0.12580562332420975,0.2708,0.5632,0.122,0.0008,-0.5225364309027846,-0.7151212223903762,0.2504,0.0
high_inflation_1966_1982,LETF_1p5_BH,20,2500,0.055586815362892894,-0.021333107550398498,-0.07460401338100343,0.194,0.8376,0.3068,0.016,-0.623350912986595,-0.8068311686408579,0.1676,0.0016
high_inflation_1966_1982,LETF_1p5_BH,40,2500,0.05535806667470344,-0.00021118290083500476,-0.046323896349215334,0.114,0.9736,0.5428,0.0612,-0.7126667410024081,-0.8758526901557898,0.1012,0.0048
high_inflation_1966_1982,LETF_2x_BH,10,2500,0.045747180639649665,-0.09030553308380683,-0.18912588108136472,0.306,0.8528,0.4004,0.0368,-0.6596455335392739,-0.8413264224572845,0.3452,0.004
high_inflation_1966_1982,LETF_2x_BH,20,2500,0.04274375277457454,-0.05721368693523354,-0.12464612310487751,0.2292,0.9836,0.7024,0.148,-0.7688255548475993,-0.9177181292205244,0.2952,0.0228
high_inflation_1966_1982,LETF_2x_BH,40,2500,0.043392160097420085,-0.030529751971831765,-0.08966508040506893,0.15,0.9992,0.918,0.3392,-0.8532962009954842,-0.9642273946508827,0.2288,0.0388
high_inflation_1966_1982,LETF_3x_BH,10,2500,0.009888299867544359,-0.18267295107632092,-0.30946147285962367,0.2788,0.9952,0.8264,0.316,-0.8361931498030855,-0.9568451390556213,0.4744,0.0748
high_inflation_1966_1982,LETF_3x_BH,20,2500,0.005209811588085866,-0.13720380864486037,-0.2283356603806804,0.2024,1.0,0.976,0.6136,-0.9280400078221502,-0.9891252290257221,0.4808,0.1436
high_inflation_1966_1982,LETF_3x_BH,40,2500,0.005901053011737933,-0.10008330178763702,-0.18192868887759767,0.124,1.0,0.9992,0.8664,-0.9726861959087932,-0.998287784970616,0.4668,0.2316
high_inflation_1966_1982,LETF_S9_35_12,10,2500,0.06757630612079168,-0.05937650058135667,-0.1397484319147401,0.4668,0.8228,0.2152,0.0016,-0.5965292100120658,-0.7594618483735082,0.256,0.0
high_inflation_1966_1982,LETF_S9_35_12,20,2500,0.06809217993133132,-0.024630718605896794,-0.08583050895403364,0.4688,0.9756,0.4988,0.0296,-0.699525837368877,-0.8463513211559986,0.1736,0.0024
high_inflation_1966_1982,LETF_S9_35_12,40,2500,0.0708786317772997,-0.0013721371583905071,-0.0533313072152625,0.4704,0.9992,0.7732,0.118,-0.7766719484439514,-0.9075463682855683,0.1084,0.0084
high_inflation_1966_1982,LETF_S9_35_0,10,2500,0.10545607379896105,-0.007665448993920831,-0.07980992001544579,0.7188,0.4088,0.0272,0.0,-0.4783604633161359,-0.6157632247705045,0.116,0.0
high_inflation_1966_1982,LETF_S9_35_0,20,2500,0.10825148112276839,0.025277038423297316,-0.03307097990890572,0.7876,0.7344,0.0944,0.0008,-0.5540862469699281,-0.6970980513490976,0.04,0.0
high_inflation_1966_1982,LETF_S9_35_0,40,2500,0.11025276005792117,0.04704796789228716,0.004483623961147622,0.8712,0.9328,0.214,0.0032,-0.6192654913368507,-0.7565953311077208,0.0048,0.0
high_inflation_1966_1982,FUT_VOL25,10,2500,0.03182734883002902,-0.1071618720970103,-0.20046076280244352,0.254,0.9064,0.4612,0.0448,-0.6845896683897361,-0.8591164248824686,0.3924,0.0084
high_inflation_1966_1982,FUT_VOL25,20,2500,0.030715381449345158,-0.07202249214098076,-0.14317428258723086,0.174,0.9924,0.7656,0.1976,-0.7975771374278192,-0.9353178368045456,0.3588,0.0368
high_inflation_1966_1982,FUT_VOL25,40,2500,0.030282414285530912,-0.045230180296861044,-0.10234275697291163,0.102,1.0,0.9496,0.4328,-0.881057317535989,-0.9762984885125656,0.3084,0.0692
high_inflation_1966_1982,FUT_35_12,10,2500,0.08031323829951387,-0.04979777918553323,-0.13142154142497822,0.546,0.7952,0.1852,0.0,-0.5848946654423722,-0.7469053841806867,0.22,0.0
high_inflation_1966_1982,FUT_35_12,20,2500,0.08096734807962924,-0.013821587744268815,-0.07641617878283935,0.5728,0.9668,0.4452,0.0208,-0.6840612264871029,-0.8304926260203402,0.138,0.0016
high_inflation_1966_1982,FUT_35_12,40,2500,0.08354626062176396,0.009791148128215977,-0.04334374704370682,0.6224,0.998,0.7176,0.0872,-0.757248541837064,-0.8919272481385345,0.0672,0.0028
high_inflation_1966_1982,FUT_35_0,10,2500,0.1150955828834268,1.7616004520105893e-05,-0.0746580031122827,0.7668,0.376,0.0212,0.0,-0.4709012092714105,-0.6060384809194332,0.1,0.0
high_inflation_1966_1982,FUT_35_0,20,2500,0.11846336142995839,0.032873725107941974,-0.026254240189998074,0.8484,0.6896,0.0768,0.0008,-0.5424810046172034,-0.6822941886513657,0.0312,0.0
high_inflation_1966_1982,FUT_35_0,40,2500,0.12041438481819333,0.055676892252319934,0.01210381339169018,0.924,0.9044,0.1756,0.002,-0.606896008338294,-0.7435039674550217,0.0024,0.0
high_inflation_1966_1982,FUT_40_0,10,2500,0.12326696343942212,0.00027513967513290887,-0.07444301340228691,0.7828,0.44,0.0296,0.0,-0.48594002011935744,-0.6219038046379104,0.0996,0.0
high_inflation_1966_1982,FUT_40_0,20,2500,0.12482871223263647,0.033708202902460196,-0.027485342069491738,0.8672,0.76,0.1004,0.0008,-0.5590312612636463,-0.7007317794149489,0.0288,0.0
high_inflation_1966_1982,FUT_40_0,40,2500,0.12681039668156602,0.058694167005413925,0.013514704588644264,0.9352,0.9444,0.22,0.0028,-0.6231174858134729,-0.7573294587604331,0.0024,0.0
high_inflation_1966_1982,FUT_2x_200DMA,10,2500,0.12318625063412636,0.03161156814829717,-0.024297606452039596,0.8836,0.036,0.0004,0.0,-0.3424143844731702,-0.44389773089835366,0.036,0.0
high_inflation_1966_1982,FUT_2x_200DMA,20,2500,0.12382109402212271,0.05624760503316355,0.011113887152578416,0.9564,0.1028,0.0012,0.0,-0.38942755317980915,-0.5013395836295097,0.0044,0.0
high_inflation_1966_1982,FUT_2x_200DMA,40,2500,0.12568441487798854,0.07573917635851135,0.04029871326004273,0.9896,0.21,0.0028,0.0,-0.4338074833987576,-0.5423660062629838,0.0,0.0
crisis_heavy_empirical,MKT_1x,10,2500,-0.029175515707568933,-0.12336717493325676,-0.2034413199526634,0.0,0.8152,0.3816,0.0252,-0.6493976051584319,-0.8335468462278096,0.6416,0.0096
crisis_heavy_empirical,MKT_1x,20,2500,-0.028880260928131174,-0.09657564781865527,-0.15068746923631998,0.0,0.974,0.7324,0.1892,-0.794909327354369,-0.9303476409917828,0.6932,0.068
