strategy,crisis,start,end,cagr,max_drawdown,max_underwater_years,terminal,vol
LETF_3x_BH,Great_Depression_1929_1939,1929-08-01,1939-12-31,-0.3033140001293696,-0.9989338717549183,12.218253968253968,0.011624379107584978,0.8604512396281585
LETF_3x_BH,Stagflation_1966_1982,1966-01-01,1982-12-31,0.009181428996026808,-0.9231672241662945,14.09920634920635,1.1672455592767546,0.39058314213454515
LETF_3x_BH,Crash_1987,1987-08-01,1989-07-31,-0.10362890139925529,-0.7796825777223014,1.9365079365079365,0.8031324067800324,0.6532983186936276
LETF_3x_BH,Dotcom_2000_2007,2000-03-01,2007-06-30,-0.09178450141436567,-0.9342566288298352,7.242063492063492,0.4945553637583365,0.5373030774206127
LETF_3x_BH,GFC_2007_2013,2007-10-01,2013-03-31,-0.1175073386332165,-0.9527964125444887,5.4603174603174605,0.5035671142757007,0.7653099008715667
LETF_3x_BH,COVID_2020,2020-02-01,2020-08-31,-0.04415989844344448,-0.772042350976798,0.5357142857142857,0.9739979903262717,1.2831529579832692
LETF_3x_BH,Inflation_2022_2024,2022-01-01,2024-07-31,-0.005637870867739259,-0.6550318910186981,2.5,0.985588880858796,0.5628213547534059
LETF_S9_35_12,Great_Depression_1929_1939,1929-08-01,1939-12-31,0.007239783014118872,-0.7302630532102778,7.591269841269841,1.0929841794933222,0.2755840721190273
LETF_S9_35_12,Stagflation_1966_1982,1966-01-01,1982-12-31,0.09788697177991978,-0.5429928390450379,3.111111111111111,4.855800951153726,0.25260389689361334
LETF_S9_35_12,Crash_1987,1987-08-01,1989-07-31,0.2351429738620905,-0.3745214677222797,1.7182539682539681,1.5268572012204544,0.2866977683545453
LETF_S9_35_12,Dotcom_2000_2007,2000-03-01,2007-06-30,0.00070411363064804,-0.6337335620215122,7.242063492063492,1.0051609896344127,0.261336535238497
LETF_S9_35_12,GFC_2007_2013,2007-10-01,2013-03-31,0.10267410875961902,-0.42078954296158977,2.4761904761904763,1.7098347982133173,0.2872447964488721
LETF_S9_35_12,COVID_2020,2020-02-01,2020-08-31,0.28940899840208156,-0.3123956879586023,0.5277777777777778,1.159830627902902,0.318558499822726
LETF_S9_35_12,Inflation_2022_2024,2022-01-01,2024-07-31,0.10599170370338151,-0.32716527097877834,2.0555555555555554,1.2951831570460077,0.2766270505931239
LETF_S9_35_0,Great_Depression_1929_1939,1929-08-01,1939-12-31,0.05345952155794764,-0.5798151807866019,7.2976190476190474,1.9000892949165546,0.25682501131128965
LETF_S9_35_0,Stagflation_1966_1982,1966-01-01,1982-12-31,0.15107980791064612,-0.42825454991015954,2.261904761904762,10.812914483327718,0.23930187091314994
LETF_S9_35_0,Crash_1987,1987-08-01,1989-07-31,0.24471506854052638,-0.3545020534518485,1.6587301587301588,1.5506620416474703,0.27210900278303846
LETF_S9_35_0,Dotcom_2000_2007,2000-03-01,2007-06-30,0.008678164163578028,-0.530224897779002,7.158730158730159,1.0652333426112235,0.2483893121425992
LETF_S9_35_0,GFC_2007_2013,2007-10-01,2013-03-31,0.10540186991147205,-0.33238327103929866,2.2063492063492065,1.7331772286248808,0.27565431305988664
LETF_S9_35_0,COVID_2020,2020-02-01,2020-08-31,0.22565432919557282,-0.30464682269339627,0.5357142857142857,1.1260249202606967,0.30611404707848705
LETF_S9_35_0,Inflation_2022_2024,2022-01-01,2024-07-31,0.09563211460409016,-0.32435201591066976,2.0833333333333335,1.264263735906878,0.26477972967370594
FUT_VOL25,Great_Depression_1929_1939,1929-08-01,1939-12-31,-0.05458109240848197,-0.8522343365159556,11.527777777777779,0.5006792837129971,0.28190986912402693
FUT_VOL25,Stagflation_1966_1982,1966-01-01,1982-12-31,0.03081708564342711,-0.7129287945498324,11.186507936507937,1.6712490823997015,0.2603645893294787
FUT_VOL25,Crash_1987,1987-08-01,1989-07-31,0.264562762872784,-0.39120290803750457,1.4563492063492063,1.6006091810134684,0.29088848558947344
FUT_VOL25,Dotcom_2000_2007,2000-03-01,2007-06-30,0.0013764411222774164,-0.6865244092046427,7.242063492063492,1.010110438110541,0.26333128977417986
FUT_VOL25,GFC_2007_2013,2007-10-01,2013-03-31,0.09441337769752467,-0.5186979933855858,3.1944444444444446,1.6407077014897482,0.2697274223364261
