experiment_id,rebalance_date,signal_date,formation_date,model,top_n,eligible_rows,scored_rows,selected_rows,executed,nav_pre,nav_post_cost,gross_trade,turnover
bottleneck_momentum:10,2018-01-02,2017-12-29,2017-12-31,bottleneck_momentum,10,492,230,10,True,24433916.68559943,24382488.88817788,34285198.28103429,1.4031806166074425
bottleneck_momentum:10,2018-04-02,2018-03-29,2018-03-31,bottleneck_momentum,10,491,238,10,True,24288393.014543287,24237417.974236935,33983360.204233654,1.3991605036976
bottleneck_momentum:10,2018-07-02,2018-06-29,2018-06-30,bottleneck_momentum,10,495,241,10,True,27441120.05631128,27390968.536763467,33434346.365208875,1.218403122634901
bottleneck_momentum:10,2018-10-01,2018-09-28,2018-09-30,bottleneck_momentum,10,496,221,10,True,27704687.405775778,27646120.48510673,39044613.77936697,1.4093143592454713
bottleneck_momentum:10,2019-01-02,2018-12-31,2018-12-31,bottleneck_momentum,10,496,221,10,True,20777928.06306399,20721498.937125072,37619417.29261172,1.81054709489952
bottleneck_momentum:10,2019-04-01,2019-03-29,2019-03-31,bottleneck_momentum,10,497,227,10,True,23296703.639352523,23240841.826249868,37241208.73510247,1.5985612948346497
bottleneck_momentum:10,2019-07-01,2019-06-28,2019-06-30,bottleneck_momentum,10,493,221,10,True,24454309.476403184,24388361.9778152,43964999.058655456,1.7978425888933325
bottleneck_momentum:10,2019-10-01,2019-09-30,2019-09-30,bottleneck_momentum,10,493,228,10,True,24548911.842342142,24497128.44190011,34522266.96135365,1.4062646516905648
bottleneck_momentum:20,2009-01-02,2008-12-31,2008-12-31,bottleneck_momentum,20,409,0,0,False,10000000.0,,,
bottleneck_momentum:20,2009-04-01,2009-03-31,2009-03-31,bottleneck_momentum,20,409,0,0,False,10000000.0,,,
bottleneck_momentum:20,2009-07-01,2009-06-30,2009-06-30,bottleneck_momentum,20,427,0,0,False,10000000.0,,,
bottleneck_momentum:20,2009-10-01,2009-09-30,2009-09-30,bottleneck_momentum,20,437,0,0,False,10000000.0,,,
bottleneck_momentum:20,2010-01-04,2009-12-31,2009-12-31,bottleneck_momentum,20,442,0,0,False,10000000.0,,,
bottleneck_momentum:20,2010-04-01,2010-03-31,2010-03-31,bottleneck_momentum,20,450,0,0,False,10000000.0,,,
bottleneck_momentum:20,2010-07-01,2010-06-30,2010-06-30,bottleneck_momentum,20,450,0,0,False,10000000.0,,,
